EmployeeID,Salary,EffectiveDate,Bonus,SalaryType,PayFrequency,Currency,AdjustmentReason,PreviousSalary
HU-2014-6040,965683,2023-11-15,170127,Base,Monthly,INR,Performance Bonus,135773
OP-2021-8895,1611150,2024-05-27,158566,Base,Annually,INR,Performance Bonus,795683
MA-2023-1215,1739967,2024-01-31,631145,Base,Annually,INR,Performance Bonus,577018
MA-2011-2336,1095838,2024-04-01,295348,Commission,Monthly,INR,Cost of Living Adjustment,1058198
IT-2013-1073,904156,2024-05-06,60182,Commission,Monthly,INR,Performance Bonus,374583
SY-2015-4189,399123,2023-12-04,153282,Commission,Annually,INR,Performance Bonus,227068
IT-2017-5764,1731058,2024-07-23,563866,Base,Annually,INR,Performance Bonus,690104
DA-2014-8976,1908092,2024-07-18,167719,Base,Monthly,INR,Cost of Living Adjustment,553091
PR-2020-7237,1729958,2024-06-17,125891,Commission,Monthly,INR,Performance Bonus,325289
NE-2020-7701,1773724,2023-11-14,205916,Commission,Monthly,INR,Performance Bonus,338573
FR-2016-2812,638279,2024-06-09,164120,Base,Annually,INR,Promotion,449081
CU-2015-2908,376870,2024-02-21,24091,Base,Monthly,INR,Performance Bonus,176597
SO-2011-4964,150744,2024-07-05,38409,Base,Monthly,INR,Performance Bonus,71860
OP-2015-2617,1006373,2024-06-12,215371,Commission,Monthly,INR,Promotion,753394
HU-2021-3315,1106789,2024-06-02,381788,Commission,Monthly,INR,Performance Bonus,38189
DA-2021-6625,1382505,2024-05-14,79722,Commission,Monthly,INR,Promotion,895800
FI-2011-4071,1861160,2024-03-02,23408,Base,Annually,INR,Promotion,137215
DE-2014-1465,635311,2023-12-10,36159,Base,Annually,INR,Cost of Living Adjustment,267673
IT-2014-4709,1036440,2024-06-21,263463,Base,Annually,INR,Performance Bonus,693060
HU-2014-9156,142546,2024-07-19,8654,Base,Annually,INR,Promotion,112193
HU-2017-7215,1570507,2024-05-16,430163,Base,Monthly,INR,Performance Bonus,1286646
CL-2016-3973,747150,2024-06-07,223192,Commission,Monthly,INR,Promotion,279886
CU-2013-7657,206714,2023-12-10,47467,Base,Annually,INR,Performance Bonus,75005
MA-2015-8312,752253,2024-07-09,294206,Base,Monthly,INR,Cost of Living Adjustment,594881
CY-2021-3685,478461,2024-02-11,145618,Base,Monthly,INR,Performance Bonus,179935
NE-2018-3450,416396,2024-05-12,114389,Base,Monthly,INR,Promotion,169154
IT-2015-4805,1080950,2023-08-16,258459,Base,Monthly,INR,Promotion,705114
PR-2019-8621,1900565,2023-11-04,453187,Commission,Annually,INR,Cost of Living Adjustment,300617
MA-2022-1431,1000042,2023-10-14,89381,Commission,Monthly,INR,Promotion,489310
SY-2021-9295,859657,2023-09-25,280277,Commission,Monthly,INR,Performance Bonus,858887
DA-2009-6864,1298843,2023-10-07,493773,Base,Annually,INR,Performance Bonus,93457
SA-2020-3680,886129,2023-09-22,162323,Commission,Monthly,INR,Promotion,124718
NE-2009-7799,1063537,2023-09-26,351944,Base,Annually,INR,Cost of Living Adjustment,440069
SY-2011-9167,1899917,2024-06-19,742981,Commission,Monthly,INR,Cost of Living Adjustment,1871878
IT-2010-6236,207414,2023-09-21,7912,Commission,Annually,INR,Cost of Living Adjustment,71790
DE-2012-1249,179324,2024-02-17,7885,Base,Annually,INR,Performance Bonus,133745
FR-2021-3650,1277737,2024-05-21,356733,Commission,Monthly,INR,Cost of Living Adjustment,50682
CU-2013-7642,1541589,2023-08-10,3325,Base,Monthly,INR,Performance Bonus,1173513
DA-2023-1979,41156,2024-05-03,7276,Base,Annually,INR,Performance Bonus,33639
FR-2018-2860,71124,2024-06-30,12960,Base,Annually,INR,Performance Bonus,43253
PR-2010-8128,1001376,2023-09-05,277243,Base,Annually,INR,Performance Bonus,714730
CY-2015-9977,952854,2023-11-23,324800,Base,Annually,INR,Promotion,821846
CY-2019-7863,1944036,2023-11-30,640066,Commission,Annually,INR,Promotion,1850928
HU-2009-6660,540433,2024-07-31,102963,Base,Annually,INR,Performance Bonus,105865
IT-2023-2881,945246,2024-03-05,113879,Base,Monthly,INR,Promotion,702487
OP-2014-2344,1623675,2023-11-11,609139,Commission,Monthly,INR,Cost of Living Adjustment,158558
SO-2018-7607,1293540,2024-07-10,75425,Base,Monthly,INR,Promotion,205663
GE-2021-3786,809033,2023-11-04,278084,Commission,Monthly,INR,Performance Bonus,133155
DE-2020-3905,1639414,2023-10-14,135707,Base,Annually,INR,Cost of Living Adjustment,811854
SY-2013-6702,1338259,2023-12-02,252089,Base,Annually,INR,Performance Bonus,41013
OP-2020-5315,1773928,2023-09-13,651975,Base,Annually,INR,Performance Bonus,588307
GE-2015-7834,1075365,2023-11-04,232723,Base,Monthly,INR,Performance Bonus,210799
CU-2020-2280,441229,2023-08-16,173463,Base,Monthly,INR,Promotion,250351
CY-2018-7886,1604249,2024-03-27,62315,Base,Monthly,INR,Promotion,144166
OP-2010-1376,614358,2023-10-10,77269,Commission,Annually,INR,Promotion,339162
GE-2012-1632,844122,2024-07-04,271710,Base,Monthly,INR,Promotion,154969
DE-2014-6923,1340016,2023-11-20,238158,Commission,Monthly,INR,Cost of Living Adjustment,997655
CL-2015-9284,1688448,2024-07-17,568538,Base,Monthly,INR,Performance Bonus,768014
CU-2021-6966,124172,2024-04-11,3494,Base,Annually,INR,Performance Bonus,39617
FI-2014-2731,1702451,2023-09-10,622867,Base,Monthly,INR,Promotion,1450963
NE-2012-8398,1441995,2024-05-08,23579,Commission,Annually,INR,Performance Bonus,1062916
HU-2015-6183,1135634,2024-08-01,52297,Base,Monthly,INR,Cost of Living Adjustment,563141
SO-2021-4767,1849706,2023-09-25,300497,Commission,Monthly,INR,Performance Bonus,1394104
SY-2016-3715,599105,2023-12-25,236209,Commission,Monthly,INR,Promotion,171683
IT-2011-6807,806255,2024-03-17,125441,Commission,Monthly,INR,Cost of Living Adjustment,493333
DA-2014-9300,1490448,2024-01-26,562964,Base,Monthly,INR,Cost of Living Adjustment,850677
FI-2009-1485,427996,2023-09-27,11699,Base,Monthly,INR,Promotion,134475
DA-2019-3594,506135,2023-10-23,180790,Base,Monthly,INR,Cost of Living Adjustment,477181
IT-2021-1375,883396,2024-02-13,6002,Commission,Annually,INR,Performance Bonus,65040
SO-2023-6994,1128421,2024-07-10,377826,Commission,Annually,INR,Promotion,999835
OP-2017-2024,1645606,2024-01-15,203586,Commission,Annually,INR,Cost of Living Adjustment,813482
OP-2017-1495,288709,2024-02-16,50611,Base,Annually,INR,Performance Bonus,141281
PR-2012-6167,1992086,2024-06-07,131412,Commission,Annually,INR,Promotion,1847145
OP-2009-9829,264903,2023-10-29,95629,Base,Annually,INR,Promotion,232142
MA-2012-6962,622121,2024-07-12,222942,Commission,Monthly,INR,Cost of Living Adjustment,425514
NE-2022-4093,826735,2023-11-13,163871,Base,Annually,INR,Performance Bonus,213573
DA-2015-7923,32354,2024-06-18,2567,Commission,Annually,INR,Promotion,20628
MA-2015-4119,1245673,2024-03-21,350775,Base,Monthly,INR,Promotion,557436
IT-2011-9576,466464,2023-12-23,144016,Commission,Annually,INR,Promotion,287333
SA-2012-7205,1723831,2024-03-13,349871,Base,Annually,INR,Performance Bonus,906253
PR-2013-9394,1795968,2024-07-09,291103,Commission,Monthly,INR,Cost of Living Adjustment,1001252
OP-2018-1065,621781,2024-06-20,156364,Base,Annually,INR,Performance Bonus,202191
SO-2022-1003,118147,2023-08-18,34293,Commission,Annually,INR,Promotion,31565
DE-2012-4503,1668326,2023-10-13,504965,Base,Annually,INR,Promotion,917495
HU-2016-3976,967940,2023-08-16,21114,Base,Annually,INR,Performance Bonus,572465
HU-2015-4977,1542602,2024-04-06,9325,Base,Monthly,INR,Promotion,1409088
HU-2014-5334,1414309,2024-02-05,204164,Base,Monthly,INR,Cost of Living Adjustment,1352384
GE-2019-9189,1897742,2023-10-26,11380,Commission,Monthly,INR,Performance Bonus,384591
MA-2022-4409,1100715,2023-11-18,28895,Commission,Monthly,INR,Promotion,289596
FI-2010-4335,1044126,2023-10-13,43923,Base,Monthly,INR,Performance Bonus,928442
FI-2020-4350,222129,2024-04-04,30369,Base,Annually,INR,Promotion,162807
PR-2009-9249,945547,2024-02-29,9350,Commission,Annually,INR,Performance Bonus,368858
SY-2016-9642,1627699,2024-02-28,317827,Commission,Monthly,INR,Promotion,840330
NE-2016-7250,1603955,2024-06-05,503976,Base,Monthly,INR,Performance Bonus,417774
OP-2013-7870,783074,2024-04-09,126596,Commission,Annually,INR,Cost of Living Adjustment,198202
NE-2022-1261,1509223,2023-08-15,156838,Base,Monthly,INR,Cost of Living Adjustment,298043
DA-2021-2537,639707,2023-12-01,218516,Commission,Monthly,INR,Performance Bonus,239199
MA-2023-9055,1725090,2023-09-13,197433,Base,Monthly,INR,Promotion,1093947
SA-2015-9890,1720546,2023-10-13,195055,Base,Monthly,INR,Promotion,138902
IT-2021-1191,924117,2023-10-01,312983,Commission,Monthly,INR,Performance Bonus,458547
SO-2015-6534,1326788,2023-09-15,354273,Base,Annually,INR,Cost of Living Adjustment,676262
SA-2014-4514,1135552,2024-03-26,123127,Commission,Annually,INR,Promotion,368942
FI-2013-5161,87330,2024-05-14,18704,Commission,Annually,INR,Cost of Living Adjustment,46762
FI-2015-8949,433279,2023-10-07,158749,Commission,Annually,INR,Promotion,398095
FR-2009-5609,758466,2024-01-24,267625,Commission,Annually,INR,Performance Bonus,695364
PR-2018-8762,146178,2024-07-29,13086,Base,Monthly,INR,Performance Bonus,73175
OP-2019-4551,1225072,2024-05-09,57036,Commission,Annually,INR,Promotion,1047545
CL-2012-9496,560458,2024-07-15,123501,Commission,Annually,INR,Promotion,466010
GE-2016-9055,857361,2024-03-20,41180,Base,Annually,INR,Promotion,409615
SY-2009-4385,267610,2023-09-30,24191,Base,Annually,INR,Performance Bonus,31031
IT-2015-1397,593309,2023-10-20,124156,Base,Annually,INR,Cost of Living Adjustment,131245
FR-2021-2818,292645,2023-08-23,116008,Commission,Annually,INR,Performance Bonus,245906
PR-2021-7329,437970,2024-06-02,57482,Commission,Annually,INR,Promotion,324267
CL-2023-9897,436287,2024-06-10,164456,Commission,Annually,INR,Cost of Living Adjustment,276029
CY-2019-6303,1331517,2023-08-14,147987,Commission,Annually,INR,Promotion,1155549
IT-2022-9906,1568662,2023-12-16,430883,Commission,Annually,INR,Performance Bonus,770200
CU-2013-6306,1561849,2024-04-05,318923,Commission,Annually,INR,Promotion,476382
CL-2013-9255,1876576,2024-05-02,487354,Base,Monthly,INR,Performance Bonus,1632189
MA-2012-4110,1659502,2024-01-05,531268,Commission,Monthly,INR,Performance Bonus,737108
HU-2011-9601,930495,2024-04-30,59216,Base,Annually,INR,Performance Bonus,570740
PR-2018-6977,395882,2023-09-03,20753,Base,Annually,INR,Cost of Living Adjustment,163126
FI-2013-7521,1825593,2023-12-21,246929,Commission,Annually,INR,Performance Bonus,976235
OP-2011-1613,1188386,2023-12-08,343344,Commission,Annually,INR,Performance Bonus,305723
GE-2014-3777,510374,2023-12-30,192311,Base,Monthly,INR,Promotion,244507
DA-2020-3506,1634985,2024-06-24,256369,Base,Annually,INR,Performance Bonus,247318
PR-2022-5233,1049281,2024-02-04,112154,Base,Annually,INR,Performance Bonus,513349
GE-2016-2790,750494,2024-07-11,49676,Commission,Monthly,INR,Promotion,467483
IT-2014-7103,1110056,2024-04-22,154466,Base,Monthly,INR,Promotion,513754
SO-2011-8811,1152786,2024-06-21,30504,Base,Annually,INR,Performance Bonus,352293
NE-2010-5698,824460,2023-12-19,11369,Base,Monthly,INR,Cost of Living Adjustment,418347
CY-2022-7515,624141,2024-07-31,97930,Base,Monthly,INR,Performance Bonus,76155
FI-2009-5504,1632897,2024-04-27,265081,Commission,Annually,INR,Promotion,964362
OP-2017-1397,985623,2024-04-09,334314,Base,Monthly,INR,Promotion,553896
DE-2010-3770,1200529,2024-08-06,235353,Base,Monthly,INR,Performance Bonus,428535
DA-2017-3352,683287,2023-09-25,107316,Base,Monthly,INR,Cost of Living Adjustment,572083
PR-2016-6335,1027087,2024-04-03,358445,Base,Annually,INR,Cost of Living Adjustment,969315
IT-2009-8215,61065,2024-04-28,13053,Base,Annually,INR,Performance Bonus,29614
IT-2016-7817,194142,2023-12-19,5273,Commission,Monthly,INR,Promotion,102757
MA-2019-5353,1458727,2023-09-07,192774,Commission,Monthly,INR,Cost of Living Adjustment,1058889
SA-2015-9288,496075,2023-08-23,162868,Base,Annually,INR,Promotion,36967
FI-2014-2953,270584,2024-07-18,98117,Commission,Annually,INR,Promotion,37556
HU-2022-7800,456545,2024-01-23,127638,Commission,Annually,INR,Cost of Living Adjustment,66206
CL-2012-2098,296079,2024-03-28,68391,Base,Annually,INR,Performance Bonus,263176
FI-2016-6636,1709474,2023-08-18,619915,Base,Annually,INR,Promotion,1427689
DA-2011-6058,607000,2023-08-24,155121,Commission,Monthly,INR,Promotion,432980
SA-2016-7160,1142200,2024-01-22,139295,Commission,Annually,INR,Promotion,669612
OP-2014-6693,346346,2024-07-25,89084,Base,Annually,INR,Promotion,142996
IT-2016-8357,575586,2024-02-16,71192,Base,Annually,INR,Cost of Living Adjustment,162572
NE-2022-8409,1743979,2023-08-17,282968,Commission,Annually,INR,Cost of Living Adjustment,1386516
SY-2009-3938,50994,2023-10-03,15156,Base,Monthly,INR,Performance Bonus,42351
CU-2010-7427,138559,2023-12-09,8804,Base,Annually,INR,Promotion,99531
SO-2021-7638,1004776,2023-12-10,104312,Commission,Monthly,INR,Promotion,716643
NE-2018-5238,828022,2024-05-06,271398,Commission,Monthly,INR,Promotion,508427
OP-2014-9176,328425,2023-11-25,112695,Base,Annually,INR,Performance Bonus,257454
MA-2014-7653,1837614,2024-03-23,264705,Base,Annually,INR,Cost of Living Adjustment,449340
FI-2023-9875,508617,2024-03-14,118889,Commission,Annually,INR,Promotion,362563
CY-2016-9517,975528,2023-10-14,69349,Commission,Annually,INR,Performance Bonus,344436
SA-2017-6383,1162694,2023-10-22,215861,Commission,Monthly,INR,Promotion,845799
OP-2011-7321,1038897,2024-05-22,242528,Base,Annually,INR,Performance Bonus,358851
FI-2010-9838,196570,2023-12-20,72941,Commission,Monthly,INR,Promotion,30788
CU-2017-3973,546961,2023-10-24,117918,Commission,Monthly,INR,Performance Bonus,432674
NE-2018-5518,1139461,2024-02-12,72374,Base,Annually,INR,Cost of Living Adjustment,985875
HU-2019-9523,394588,2023-08-18,89982,Base,Annually,INR,Promotion,41470
NE-2013-8088,1795014,2023-09-22,639404,Commission,Annually,INR,Performance Bonus,682099
DE-2015-9042,646380,2023-10-18,44250,Base,Annually,INR,Promotion,614856
CU-2022-7981,91013,2023-10-06,13976,Commission,Annually,INR,Promotion,89888
PR-2019-1273,1380897,2024-02-23,342160,Commission,Annually,INR,Performance Bonus,158918
MA-2023-1189,963701,2024-06-09,382449,Commission,Monthly,INR,Promotion,584783
NE-2010-3978,1372133,2024-06-20,196891,Base,Monthly,INR,Performance Bonus,540793
IT-2013-1336,548305,2023-09-03,27706,Base,Monthly,INR,Performance Bonus,184917
DE-2015-5082,941017,2023-11-10,45964,Base,Annually,INR,Performance Bonus,599632
NE-2018-9656,626998,2023-12-21,119464,Base,Annually,INR,Performance Bonus,69243
DA-2018-1981,910185,2023-11-08,133696,Base,Annually,INR,Promotion,492094
CL-2019-3413,902007,2023-12-29,249684,Commission,Annually,INR,Cost of Living Adjustment,785316
HU-2011-5302,274956,2023-08-11,42756,Commission,Annually,INR,Cost of Living Adjustment,89631
SO-2012-6059,1483612,2024-07-20,262212,Commission,Monthly,INR,Performance Bonus,573913
OP-2014-7028,964341,2024-02-23,63463,Base,Monthly,INR,Cost of Living Adjustment,560312
PR-2014-6072,404871,2024-04-12,131909,Base,Monthly,INR,Cost of Living Adjustment,311963
PR-2012-6693,708843,2024-01-01,107270,Base,Annually,INR,Cost of Living Adjustment,497748
OP-2009-9597,1046579,2024-03-07,95588,Commission,Annually,INR,Promotion,335978
PR-2016-6073,1650536,2024-04-12,308964,Base,Monthly,INR,Cost of Living Adjustment,250625
DA-2017-5855,418174,2024-06-21,91482,Commission,Annually,INR,Promotion,168733
HU-2023-9171,794665,2023-12-10,70821,Base,Annually,INR,Promotion,636641
CU-2014-9170,986058,2024-04-05,337698,Commission,Monthly,INR,Promotion,374661
IT-2013-4010,880376,2023-08-17,68041,Base,Monthly,INR,Performance Bonus,646087
GE-2022-4338,1023712,2024-03-02,301033,Base,Annually,INR,Performance Bonus,498853
DA-2023-6646,941310,2024-06-15,60675,Base,Monthly,INR,Cost of Living Adjustment,326241
IT-2023-2693,951126,2024-03-03,203753,Base,Monthly,INR,Cost of Living Adjustment,607847
OP-2023-2205,1883263,2023-08-29,233455,Commission,Annually,INR,Promotion,1462430
SY-2022-8377,1230889,2024-05-14,167443,Commission,Monthly,INR,Promotion,508369
IT-2011-3902,235220,2024-06-11,46431,Commission,Monthly,INR,Cost of Living Adjustment,65583
IT-2021-9602,91215,2024-06-08,26187,Commission,Annually,INR,Cost of Living Adjustment,68574
SA-2010-1529,970200,2024-01-02,84842,Base,Annually,INR,Promotion,480330
NE-2011-2346,1699400,2024-06-05,180509,Base,Annually,INR,Cost of Living Adjustment,1523982
SO-2015-1383,1503308,2024-07-11,9297,Base,Monthly,INR,Cost of Living Adjustment,441486
HU-2010-6330,1736740,2024-07-22,259697,Base,Monthly,INR,Promotion,655554
PR-2015-9321,879164,2023-08-28,73717,Base,Annually,INR,Performance Bonus,822646
CY-2013-3182,1210044,2023-09-15,156863,Commission,Annually,INR,Performance Bonus,450188
MA-2019-4036,1427961,2024-04-08,153398,Commission,Monthly,INR,Cost of Living Adjustment,935637
FR-2016-9283,332442,2024-05-26,38123,Base,Annually,INR,Cost of Living Adjustment,64203
PR-2017-8604,1232818,2023-08-14,127624,Base,Monthly,INR,Performance Bonus,753010
CL-2012-5957,1151520,2024-06-04,284843,Base,Annually,INR,Cost of Living Adjustment,798067
MA-2015-3452,1853603,2023-10-07,283856,Commission,Monthly,INR,Cost of Living Adjustment,1016505
GE-2015-9335,207005,2024-05-15,64422,Commission,Monthly,INR,Performance Bonus,44700
SO-2023-5710,276778,2023-12-25,88693,Base,Annually,INR,Cost of Living Adjustment,88069
DA-2013-7380,1311112,2023-11-18,137029,Base,Monthly,INR,Cost of Living Adjustment,1211901
SO-2018-7002,32133,2024-06-04,5136,Commission,Annually,INR,Performance Bonus,31711
SO-2015-9925,280881,2024-06-11,108573,Base,Monthly,INR,Promotion,137190
SA-2010-2570,1337860,2024-04-22,417476,Commission,Monthly,INR,Promotion,299606
NE-2018-5967,1995120,2024-01-15,320858,Base,Monthly,INR,Promotion,458272
FR-2017-6225,1645406,2024-04-16,134350,Base,Annually,INR,Promotion,1335719
SA-2015-7924,1702316,2024-04-19,134717,Commission,Monthly,INR,Promotion,1643061
CL-2019-8576,1151195,2024-01-08,98880,Base,Annually,INR,Performance Bonus,759963
IT-2021-1549,990582,2024-02-21,217118,Commission,Monthly,INR,Promotion,383942
HU-2013-3907,1580479,2024-06-28,584521,Base,Annually,INR,Promotion,343174
FR-2020-8643,1049230,2024-02-22,97596,Commission,Monthly,INR,Performance Bonus,417375
FR-2019-6739,155159,2024-05-13,7634,Commission,Annually,INR,Promotion,78709
OP-2015-1161,1239135,2023-09-03,439105,Base,Annually,INR,Promotion,1090163
PR-2020-6905,383988,2023-08-24,16957,Commission,Monthly,INR,Promotion,372363
SA-2015-7473,382657,2024-05-27,123440,Base,Annually,INR,Promotion,171409
NE-2015-1823,1307366,2023-10-16,312034,Base,Monthly,INR,Promotion,136758
MA-2022-3282,1012467,2024-03-02,198832,Commission,Monthly,INR,Performance Bonus,127412
IT-2015-5457,595837,2024-04-07,35209,Commission,Annually,INR,Promotion,472881
SY-2010-9299,524276,2023-12-12,94726,Commission,Annually,INR,Performance Bonus,281416
SA-2020-4551,1177810,2023-12-18,159012,Commission,Annually,INR,Promotion,549517
SA-2018-4064,1550369,2024-02-26,102499,Commission,Monthly,INR,Promotion,1001579
PR-2017-4966,1392611,2023-10-27,314448,Base,Annually,INR,Cost of Living Adjustment,1108630
CU-2016-2906,710005,2024-01-21,239464,Base,Annually,INR,Cost of Living Adjustment,143772
CY-2014-6087,1142754,2023-12-25,417474,Base,Monthly,INR,Performance Bonus,674444
DA-2023-6244,250392,2024-02-05,49525,Base,Annually,INR,Performance Bonus,195261
PR-2015-6295,1605345,2023-09-03,380014,Commission,Monthly,INR,Cost of Living Adjustment,627195
FR-2016-5441,363950,2024-06-15,13156,Commission,Annually,INR,Performance Bonus,169923
HU-2016-8455,266833,2024-01-17,94865,Base,Annually,INR,Promotion,93708
FI-2010-4319,1717024,2024-06-13,644193,Commission,Monthly,INR,Promotion,579436
HU-2012-5092,478113,2023-12-22,32639,Commission,Annually,INR,Cost of Living Adjustment,410450
DE-2010-7661,508128,2023-09-25,191954,Base,Monthly,INR,Performance Bonus,392075
FI-2014-5856,1241893,2023-09-05,108035,Base,Annually,INR,Performance Bonus,279834
FR-2022-3333,1680055,2024-08-06,341276,Commission,Annually,INR,Promotion,681622
NE-2018-5587,1925338,2024-04-05,562283,Commission,Annually,INR,Performance Bonus,498377
MA-2020-1847,897093,2024-01-07,266119,Commission,Annually,INR,Performance Bonus,616640
NE-2013-2280,315095,2023-10-15,48859,Base,Annually,INR,Cost of Living Adjustment,118777
DA-2011-8057,630468,2024-07-09,212651,Base,Monthly,INR,Promotion,77256
CL-2022-1319,1057699,2024-08-03,173737,Commission,Monthly,INR,Promotion,402397
SA-2010-5419,34575,2023-10-14,3947,Base,Monthly,INR,Performance Bonus,24811
SO-2017-9306,39928,2023-10-09,10532,Commission,Monthly,INR,Performance Bonus,28429
NE-2019-1256,806731,2023-11-18,132688,Base,Monthly,INR,Performance Bonus,714305
CU-2010-9984,550497,2024-08-05,101599,Commission,Annually,INR,Promotion,222453
PR-2013-4996,1339625,2024-05-04,240275,Base,Annually,INR,Cost of Living Adjustment,170474
FR-2011-9022,857107,2024-01-03,32634,Base,Annually,INR,Performance Bonus,78420
FI-2020-7828,1115202,2024-06-10,305362,Commission,Annually,INR,Promotion,428283
SY-2015-4955,1173358,2023-12-05,106557,Commission,Monthly,INR,Performance Bonus,1025325
SY-2009-3568,123752,2024-05-11,10381,Commission,Monthly,INR,Cost of Living Adjustment,123390
PR-2015-7736,1590587,2023-10-24,623334,Commission,Monthly,INR,Performance Bonus,994334
IT-2019-9444,309374,2024-04-26,44355,Base,Annually,INR,Cost of Living Adjustment,21947
CU-2023-8778,1657241,2023-09-10,244315,Base,Monthly,INR,Performance Bonus,658035
NE-2020-6771,1004967,2024-07-01,139847,Commission,Monthly,INR,Cost of Living Adjustment,365476
SY-2016-4963,1884967,2024-07-02,360256,Base,Monthly,INR,Promotion,607521
SA-2017-9029,1312159,2024-01-13,270605,Base,Annually,INR,Cost of Living Adjustment,1223144
NE-2013-3067,1651715,2024-01-06,103722,Base,Annually,INR,Cost of Living Adjustment,875333
OP-2010-9492,488273,2024-02-19,13868,Base,Monthly,INR,Performance Bonus,70579
CL-2022-7518,696720,2023-08-09,71127,Base,Monthly,INR,Performance Bonus,193146
OP-2018-2953,1705344,2024-07-28,23959,Base,Annually,INR,Performance Bonus,1470157
MA-2020-5799,81887,2024-05-06,3078,Commission,Annually,INR,Cost of Living Adjustment,66957
IT-2011-7634,1394117,2023-11-13,166596,Commission,Annually,INR,Performance Bonus,1356873
FR-2016-2463,928161,2023-12-02,295656,Base,Annually,INR,Promotion,374470
PR-2014-2369,1711468,2023-09-19,593995,Base,Annually,INR,Cost of Living Adjustment,1306221
IT-2014-1772,898708,2024-06-19,186062,Commission,Annually,INR,Promotion,69943
CL-2018-7042,418501,2023-10-07,137302,Base,Annually,INR,Performance Bonus,413608
HU-2019-3547,1067980,2024-08-03,356677,Commission,Monthly,INR,Promotion,276245
IT-2016-5089,557397,2024-01-20,10792,Base,Monthly,INR,Cost of Living Adjustment,299879
IT-2010-8171,1400918,2024-05-03,390126,Commission,Monthly,INR,Cost of Living Adjustment,931921
OP-2021-8041,1281745,2024-05-28,302353,Commission,Monthly,INR,Promotion,78115
PR-2021-8843,1371741,2024-01-19,211002,Commission,Annually,INR,Promotion,528549
FR-2015-1003,1665258,2023-10-14,295532,Commission,Annually,INR,Cost of Living Adjustment,272081
DA-2019-3441,156856,2023-09-12,61508,Base,Monthly,INR,Cost of Living Adjustment,136690
PR-2014-2333,1654383,2024-02-14,374090,Base,Monthly,INR,Promotion,1524512
NE-2017-8766,1837418,2024-03-12,193249,Commission,Monthly,INR,Cost of Living Adjustment,1817257
CY-2014-2785,599448,2024-03-16,77114,Commission,Monthly,INR,Cost of Living Adjustment,498651
DA-2010-5644,524150,2023-10-04,96890,Base,Annually,INR,Cost of Living Adjustment,164576
PR-2014-8691,727362,2024-05-26,168045,Base,Annually,INR,Performance Bonus,107214
FI-2023-4101,986464,2024-05-10,307818,Base,Monthly,INR,Cost of Living Adjustment,230007
NE-2012-6874,1042714,2024-01-27,136989,Base,Annually,INR,Cost of Living Adjustment,315260
FR-2009-3502,193671,2024-07-26,31740,Commission,Monthly,INR,Promotion,88007
DA-2018-3521,1654976,2023-10-10,449601,Base,Monthly,INR,Promotion,229409
CL-2013-1087,1511158,2024-02-28,484608,Commission,Monthly,INR,Cost of Living Adjustment,1339927
MA-2013-6607,724712,2024-07-15,115471,Base,Annually,INR,Cost of Living Adjustment,712896
